FeatureNum, MRMRNBACCFCD, MRMRNBACCFCQ, MRMRLRACCFCD, MRMRLRACCFCQ, MRMRRFACCFCD, MRMRRFACCFCQ, RFNBACC, RFNBACC, RFRFACC
10, 0.53623, 0.59420, 0.57971, 0.57971, 0.53623, 0.68115, 0.50724, 0.50724, 0.49275
20, 0.63768, 0.60869, 0.59420, 0.60869, 0.66666, 0.59420, 0.53623, 0.53623, 0.56521
30, 0.65217, 0.65217, 0.65217, 0.57971, 0.66666, 0.60869, 0.60869, 0.60869, 0.59420
40, 0.69565, 0.59420, 0.69565, 0.57971, 0.66666, 0.68115, 0.63768, 0.63768, 0.62318
50, 0.68115, 0.63768, 0.71014, 0.57971, 0.66666, 0.65217, 0.60869, 0.60869, 0.59420
60, 0.65217, 0.60869, 0.72463, 0.66666, 0.68115, 0.63768, 0.59420, 0.59420, 0.59420
70, 0.65217, 0.65217, 0.69565, 0.66666, 0.71014, 0.66666, 0.60869, 0.60869, 0.62318
80, 0.65217, 0.71014, 0.68115, 0.66666, 0.69565, 0.66666, 0.60869, 0.60869, 0.59420
90, 0.63768, 0.65217, 0.69565, 0.66666, 0.73913, 0.68115, 0.60869, 0.60869, 0.56521
100, 0.66666, 0.62318, 0.68115, 0.63768, 0.71014, 0.72463, 0.63768, 0.63768, 0.57971
110, 0.65217, 0.65217, 0.66666, 0.63768, 0.68115, 0.69565, 0.62318, 0.62318, 0.60869
120, 0.62318, 0.65217, 0.66666, 0.62318, 0.68115, 0.69565, 0.60869, 0.60869, 0.60869
130, 0.63768, 0.63768, 0.63768, 0.60869, 0.68115, 0.71014, 0.63768, 0.63768, 0.59420
140, 0.62318, 0.60869, 0.62318, 0.62318, 0.66666, 0.69565, 0.63768, 0.63768, 0.60869
150, 0.66666, 0.62318, 0.62318, 0.62318, 0.68115, 0.69565, 0.63768, 0.63768, 0.62318
160, 0.66666, 0.63768, 0.62318, 0.62318, 0.66666, 0.71014, 0.63768, 0.63768, 0.66666
170, 0.66666, 0.63768, 0.63768, 0.62318, 0.69565, 0.71014, 0.63768, 0.63768, 0.66666
180, 0.63768, 0.63768, 0.60869, 0.63768, 0.69565, 0.71014, 0.63768, 0.63768, 0.68115
190, 0.57971, 0.63768, 0.60869, 0.63768, 0.68115, 0.68115, 0.62318, 0.62318, 0.68115
200, 0.59420, 0.63768, 0.60869, 0.63768, 0.68115, 0.69565, 0.63768, 0.63768, 0.65217
